"Original XML Dita File","UUID"
"livefyre-master/src/r_trending_customizations.dita","c939b31a-842d-408a-9c32-86e61a808322"
"livefyre-master/src/c_upload_button_app.dita","865fd222-58ce-47c4-8876-fb9f6e23f94b"
"livefyre-master/src/r_upload_button_customizations.dita","794d8fd5-a925-4baa-b8e3-447d4e81ac59"
"livefyre-master/src/c_upload_button_text_strings.dita","cbbc873d-8de8-4ba7-9f84-55d9c731104b"
"livefyre-master/src/c_accessibility_features.dita","04e80a63-4336-4107-8e5d-cc89d9389f89"
"livefyre-master/src/c_authentication.dita","a7a00f63-50aa-494f-928c-af02f12d4753"
"livefyre-master/src/c_call-to-action-button.xml","02962501-d30b-4b8a-8531-7e8cf29cfb70"
"livefyre-master/src/c_content_behavior_features.dita","8ece35ff-7b7a-4a7e-a830-a8eebf37b1ef"
"livefyre-master/src/c_streaming_real_time.dita","04fbe87e-8518-4880-bf75-c0f120e14f6a"
"livefyre-master/src/c_pagination.dita","3d4b5f6f-a2fb-4630-a3fd-e82f037f00ef"
"livefyre-master/src/c_items_to_load.dita","217942ad-2217-4958-9562-fb54679a80e8"
"livefyre-master/src/c_queue_comments.dita","eb710106-194d-4dd6-b910-dd4595637a21"
"livefyre-master/src/c_throttle_content.dita","1fb2351d-f04b-4a23-b8e5-43bad2d0cf0a"
"livefyre-master/src/c_photo_upload.dita","7a882602-d1dc-472b-9e2d-974d95d1018c"
"livefyre-master/src/t_upload_photos.dita","f0c6de13-8aed-46bf-b8f9-73907161784d"
"livefyre-master/src/c_user_posts.dita","9e668979-fefa-4c4c-921f-792f9725d118"
"livefyre-master/src/c_content_collection_tags.dita","afa67689-b647-4a58-a9f3-3ad875751d7c"
"livefyre-master/src/c_change_collection.dita","f007fad8-83cd-4aa6-971a-0e32ac2d9890"
"livefyre-master/src/t_filter_search_by_tag.dita","4e57bb0a-e28e-4ff8-9bde-ef70297cc0f0"
"livefyre-master/src/t_filter_search_by_content_tag.dita","03737ca2-3170-4e21-8c57-9471047ba162"
"livefyre-master/src/c_embedly_integration.dita","352c0afa-5cae-47b2-a6b8-5e8957402390"
"livefyre-master/src/c_featured_content.dita","9e3bc2c5-8141-4a38-8046-9cfb237596b1"
"livefyre-master/src/t_feature_content.dita","c1f3bd70-3cef-44a0-a718-4bc61c84f90f"
"livefyre-master/src/t_select_content_to_feature_from_studio.dita","d79255bf-2005-4dd5-8e58-6c8c7bda63d9"
"livefyre-master/src/t_select_content_to_feature.dita","30e67faf-b22f-4bf4-ae5f-f59a5f417df2"
"livefyre-master/src/t_enable_featuring_content_in_studio.dita","72805f62-3e72-47ba-bb33-81a050016f53"
"livefyre-master/src/c_permalinks.dita","0941c0f4-c9b0-4691-8d79-b958885b824d"
"livefyre-master/src/c_custom_html.dita","2a0fa284-93d1-4317-935f-a1fc9e87f0bb"
